company_number,company_name,postcode,website,discovery_method,identity_evidence_url,identity_evidence,status,checked_at
08856080,ROMAN CONSERVATION LTD,PE32 1JF,http://romanproducts.co.uk,exact legal name + company number search,https://uk.globaldatabase.com/company/roman-products-limited,"Directory links exact company number and matching address to trading-name domain",PROVISIONAL,2026-08-14
08896326,NAGLE AND SISTERS LIMITED,E17 4BZ,https://www.nagleandsisters.com,exact search followed by first-party validation,https://www.nagleandsisters.com/pages/terms-and-conditions,"First-party terms page states legal name company number 08896326 registered address E17 4BZ and VAT candidate",CONFIDENT,2026-08-14
09319447,SCOTT MYLES INTERIOR UK LIMITED,SS14 3JJ,http://scottmylesinteriors.co.uk,exact legal name + company number search,https://uk.globaldatabase.com/company/scott-myles-interior-uk-limited,"Directory links company number and registered address to domain",PROVISIONAL,2026-08-14
09979245,CANFORD & CO FRAMES LIMITED,SW10 0DG,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/09979245,"No public domain established",UNRESOLVED,2026-08-14
10050445,CASTLE ELECTRICAL LTD,GL50 1QB,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/10050445,"Generic name; registry results only and no safely attributable domain",UNRESOLVED,2026-08-14
10286277,JANDU SOLUTIONS LIMITED,CV32 6AB,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/10286277,"No public domain established",UNRESOLVED,2026-08-14
10477330,OZILLA LTD,PO37 6QY,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/10477330,"Dormant accounts and no public domain established",UNRESOLVED,2026-08-14
10677513,JWEI INTERNATIONAL LIMITED,KT10 0TQ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/10677513,"No public domain established",UNRESOLVED,2026-08-14
10938368,CROWN SURVEYORS LIMITED,M25 0TL,http://crownsurveyors.co.uk,exact legal name + company number search,https://uk.globaldatabase.com/company/crown-surveyors-limited,"Two directories link exact company number and matching address to domain",PROVISIONAL,2026-08-14
11068479,GLOBAL WARMING LIMITED,KT13 8DH,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/11068479,"Generic name and no safely attributable domain",UNRESOLVED,2026-08-14
11357760,DRACO HOLDINGS LTD,N1 7GU,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/11357760,"Dormant holding company and no public domain established",UNRESOLVED,2026-08-14
11375416,BURROW & CROWE ACCOUNTANTS & BUSINESS ADVISERS LTD,LS21 3JP,https://www.burrow-crowe.co.uk,exact legal name + company number search,https://www.burrow-crowe.co.uk/contact-us,"First-party contact page states exact legal name company number and matching registered address",CONFIDENT,2026-08-14
11476433,ZED STARR COMMUNICATIONS LTD,PR8 4NS,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/11476433,"No public domain established",UNRESOLVED,2026-08-14
11517645,FRONT ROW FASHION BOUTIQUE LIMITED,WA1 1DN,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/11517645,"No public domain established",UNRESOLVED,2026-08-14
11769631,LINQ LIFE SCIENCES LTD,PE19 5TS,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/11769631,"No public domain established",UNRESOLVED,2026-08-14
12100417,KONNECT CONSTRUCTION LTD,W1W 7LT,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/12100417,"Generic name and service address; no safely attributable domain",UNRESOLVED,2026-08-14
12303228,PHILEAS FRY LTD,YO30 5PY,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/12303228,"No public domain established",UNRESOLVED,2026-08-14
12485816,ELGI COMPRESSORS UK AND IRELAND LIMITED,WC2R 0LR,https://www.elgi.com,exact legal name + company number search,https://www.elgi.com/in/wp-content/uploads/2026/07/MGT-7_AC4467070-_Website-2025-2026_final.pdf,"Group filing identifies sampled company as subsidiary but group website may expose another entity's VAT",AMBIGUOUS_RELATED_ENTITY,2026-08-14
13171578,CIRCMAR INTERNATIONAL LIMITED,N3 3LF,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/13171578,"No public domain established",UNRESOLVED,2026-08-14
13349710,ALL RAW LTD,IG8 8DU,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/13349710,"Generic name and no safely attributable domain",UNRESOLVED,2026-08-14
13601123,MWR PERFORMANCE LIMITED,CT4 6RY,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/13601123,"No public domain established",UNRESOLVED,2026-08-14
13657985,NICK'S BESPOKE CONSTRUCTION LTD,SM5 1JJ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/13657985,"No public domain established",UNRESOLVED,2026-08-14
13759542,MPOWERUP CONSULTING LTD,SO21 2JN,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/13759542,"No public domain established",UNRESOLVED,2026-08-14
13996000,SXPRESS LTD,B49 5HZ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/13996000,"No public domain established",UNRESOLVED,2026-08-14
14049825,PALLAS RESTAURANT PARTNERSHIP LTD,WC2H 9JQ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/14049825,"Service address and no public domain established",UNRESOLVED,2026-08-14
14244961,OLLYFAITH VENTURES LTD,SR4 6JD,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/14244961,"No public domain established",UNRESOLVED,2026-08-14
14495116,C2C LAB LTD,N1 7GU,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/14495116,"Service address and no public domain established",UNRESOLVED,2026-08-14
14977923,GLEBE CONSTRUCTION MANAGEMENT SERVICES LTD,SG2 7PQ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/14977923,"No public domain established",UNRESOLVED,2026-08-14
14984527,RAWAFID FOR CONSTRUCTION & CONTRACTING GROUP LTD,HG1 1ND,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/14984527,"No public domain established",UNRESOLVED,2026-08-14
15351276,CHEO SPORTS LIMITED,LE2 2FL,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/15351276,"No public domain established",UNRESOLVED,2026-08-14
15416255,BBA BUILDING & ROOFING COMPANY LTD,WS6 7AW,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/15416255,"No public domain established",UNRESOLVED,2026-08-14
15440137,LETTER THOUSAND LTD,E8 1LL,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/15440137,"No public domain established",UNRESOLVED,2026-08-14
15516065,HERITAGE BUILDING DEVELOPMENTS LTD,TN27 0JS,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/15516065,"No public domain established",UNRESOLVED,2026-08-14
15930816,PAL PLUMBING LTD,SR8 1DE,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/15930816,"No public domain established",UNRESOLVED,2026-08-14
16425792,RHYS RIMMER BUILDING LTD,GL5 2AJ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/16425792,"New company; no public domain established",UNRESOLVED,2026-08-14
16557073,YENATALY TRADING LIMITED,W1W 7LT,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/16557073,"New company at service address; no public domain established",UNRESOLVED,2026-08-14
16786292,A SQUARED CONSTRUCTION LIMITED,WD3 5TH,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/16786292,"New company; no public domain established",UNRESOLVED,2026-08-14
16937998,HAIRSPRESSO LTD,SW18 5PP,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/16937998,"Incorporated December 2025; no public domain established",UNRESOLVED,2026-08-14
17035392,INCLUSIVE MEDIA NETWORK LIMITED,WC2H 9JQ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/17035392,"Incorporated February 2026 at service address; no public domain established",UNRESOLVED,2026-08-14
17232379,SKS GLOBAL VENTURES LTD,WC2H 9JQ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/17232379,"Very new company at service address; no public domain established",UNRESOLVED,2026-08-14
17275428,SPACE FUTURES INTERNATIONAL LIMITED,GU21 6ET,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/17275428,"Very new company; no public domain established",UNRESOLVED,2026-08-14
NI633063,PORTLEE ASSOCIATES LTD,BT41 3PD,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/NI633063,"No public domain established",UNRESOLVED,2026-08-14
NI712296,HULIJUAN LTD,BT1 9DY,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/NI712296,"No public domain established; snapshot address appears older than current register address",UNRESOLVED,2026-08-14
SC100367,GLEN GORDON WHISKY COMPANY LIMITED,IV30 1JY,https://www.gordonandmacphail.com,exact legal name + company number search,https://uk.globaldatabase.com/company/glen-gordon-whisky-company-limited,"Directory links sampled dormant subsidiary to parent/group domain; entity-specific VAT attribution unsafe",AMBIGUOUS_RELATED_ENTITY,2026-08-14
SC512768,AFFORDABLE TRADE FRAMES LIMITED,ML1 5RX,https://affordabletradeframes.com,exact legal name + company number search,https://open.endole.co.uk/insight/company/SC512768-affordable-trade-frames-limited,"Directory links exact company number address phone and domain",PROVISIONAL,2026-08-14
SC846064,AAR PROPERTIES (SCOTLAND) LTD,G64 2AB,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/SC846064,"No public domain established",UNRESOLVED,2026-08-14
SC892312,V-TECH COOLING SERVICES LTD,EH48 4BD,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/SC892312,"No public domain established",UNRESOLVED,2026-08-14
