company_number,company_name,company_status,company_category,address_line_1,post_town,county,postcode,sic_code_1,sample_stratum,source_file
12100417,KONNECT CONSTRUCTION LTD,Active,Private Limited Company,85 GREAT PORTLAND STREET,LONDON,,W1W 7LT,41201 - Construction of commercial buildings,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
12303228,PHILEAS FRY LTD,Active,Private Limited Company,WIZARD HQ WIZARD HQ,YORK,,YO30 5PY,46900 - Non-specialised wholesale trade,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
12485816,ELGI COMPRESSORS UK AND IRELAND LIMITED,Active,Private Limited Company,"6TH FLOOR, MANFIELD HOUSE",LONDON,,WC2R 0LR,46690 - Wholesale of other machinery and equipment,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
13171578,CIRCMAR INTERNATIONAL LIMITED,Active,Private Limited Company,GABLE HOUSE,LONDON,,N3 3LF,22220 - Manufacture of plastic packing goods,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
13349710,ALL RAW LTD,Active,Private Limited Company,27 PURLEIGH AVENUE,WOODFORD GREEN,,IG8 8DU,"46210 - Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",trade,BasicCompanyDataAsOneFile-2026-08-01.csv
13601123,MWR PERFORMANCE LIMITED,Active,Private Limited Company,GEDDINGE FARM GEDDINGE,CANTERBURY,,CT4 6RY,45200 - Maintenance and repair of motor vehicles,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
13657985,NICK'S BESPOKE CONSTRUCTION LTD,Active,Private Limited Company,442 GREEN WRYTHE LANE,CARSHALTON,,SM5 1JJ,41202 - Construction of domestic buildings,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
13759542,MPOWERUP CONSULTING LTD,Active,Private Limited Company,THE INCUHIVE SPACE HURSLEY PARK ROAD,WINCHESTER,,SO21 2JN,62020 - Information technology consultancy activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
13996000,SXPRESS LTD,Active,Private Limited Company,1 PARKFIELD COTTAGES HAYDON WAY,ALCESTER,,B49 5HZ,46900 - Non-specialised wholesale trade,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
14049825,PALLAS RESTAURANT PARTNERSHIP LTD,Active,Private Limited Company,71-75 SHELTON STREET,LONDON,,WC2H 9JQ,46320 - Wholesale of meat and meat products,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
14244961,OLLYFAITH VENTURES LTD,Active,Private Limited Company,15 MARTIN TERRACE,SUNDERLAND,,SR4 6JD,46900 - Non-specialised wholesale trade,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
14495116,C2C LAB LTD,Active,Private Limited Company,20-22 WENLOCK ROAD,LONDON,,N1 7GU,20420 - Manufacture of perfumes and toilet preparations,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
14977923,GLEBE CONSTRUCTION MANAGEMENT SERVICES LTD,Active,Private Limited Company,16 GLEBE VIEW,STEVENAGE,,SG2 7PQ,41100 - Development of building projects,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
14984527,RAWAFID FOR CONSTRUCTION & CONTRACTING GROUP LTD,Active,Private Limited Company,9 PRINCES SQUARE,LONDON,,HG1 1ND,46410 - Wholesale of textiles,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
15351276,CHEO SPORTS LIMITED,Active,Private Limited Company,UNIT 8 THE COURTYARD,STOUGHTON,LEICESTER,LE2 2FL,70229 - Management consultancy activities other than financial management,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
15416255,BBA BUILDING & ROOFING COMPANY LTD,Active,Private Limited Company,122 STREETS LANE,WALSALL,,WS6 7AW,43910 - Roofing activities,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
15440137,LETTER THOUSAND LTD,Active,Private Limited Company,UNIT 906,61 AMHURST ROAD,LONDON,E8 1LL,"46390 - Non-specialised wholesale of food, beverages and tobacco",trade,BasicCompanyDataAsOneFile-2026-08-01.csv
15516065,HERITAGE BUILDING DEVELOPMENTS LTD,Active,Private Limited Company,KING ARTHURS COURT,ASHFORD,KENT,TN27 0JS,41100 - Development of building projects,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
15930816,PAL PLUMBING LTD,Active,Private Limited Company,10 WESTWAY,PETERLEE,,SR8 1DE,"43220 - Plumbing, heat and air-conditioning installation",construction,BasicCompanyDataAsOneFile-2026-08-01.csv
16425792,RHYS RIMMER BUILDING LTD,Active,Private Limited Company,42 LONDON ROAD,STROUD,,GL5 2AJ,33140 - Repair of electrical equipment,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
16557073,YENATALY TRADING LIMITED,Active,Private Limited Company,85 GREAT PORTLAND STREET,LONDON,,W1W 7LT,"46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",trade,BasicCompanyDataAsOneFile-2026-08-01.csv
16786292,A SQUARED CONSTRUCTION LIMITED,Active,Private Limited Company,4 BEECHWOOD PARK,RICKMANSWORTH,,WD3 5TH,41202 - Construction of domestic buildings,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
16937998,HAIRSPRESSO LTD,Active,Private Limited Company,9 COMBEMARTIN ROAD,LONDON,,SW18 5PP,20420 - Manufacture of perfumes and toilet preparations,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
17035392,INCLUSIVE MEDIA NETWORK LIMITED,Active,Private Limited Company,71-75 SHELTON STREET,LONDON,,WC2H 9JQ,18130 - Pre-press and pre-media services,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
17232379,SKS GLOBAL VENTURES LTD,Active,Private Limited Company,71-75 SHELTON STREET,LONDON,,WC2H 9JQ,46190 - Agents involved in the sale of a variety of goods,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
17275428,SPACE FUTURES INTERNATIONAL LIMITED,Active,Private Limited Company,STEWARD HOUSE,WOKING,SURREY,GU21 6ET,70229 - Management consultancy activities other than financial management,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
NI633063,PORTLEE ASSOCIATES LTD,Active,Private Limited Company,102 GALLAGH ROAD,ANTRIM,ANTRIM,BT41 3PD,71111 - Architectural activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
NI712296,HULIJUAN LTD,Active,Private Limited Company,NI712296 - COMPANIES HOUSE DEFAULT ADDRESS,BELFAST,,BT1 9DY,"46150 - Agents involved in the sale of furniture, household goods, hardware and ironmongery",trade,BasicCompanyDataAsOneFile-2026-08-01.csv
SC100367,GLEN GORDON WHISKY COMPANY LIMITED,Active,Private Limited Company,GEORGE HOUSE,ELGIN,,IV30 1JY,"11010 - Distilling, rectifying and blending of spirits",manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
SC512768,AFFORDABLE TRADE FRAMES LIMITED,Active,Private Limited Company,"UNIT 104, BLOCK 11",MOTHERWELL,,ML1 5RX,32990 - Other manufacturing n.e.c.,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
SC846064,AAR PROPERTIES (SCOTLAND) LTD,Active,Private Limited Company,124A KIRKINTILLOCH ROAD,GLASGOW,,G64 2AB,41100 - Development of building projects,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
SC892312,V-TECH COOLING SERVICES LTD,Active,Private Limited Company,11 DYKESIDE ROAD,BATHGATE,,EH48 4BD,71122 - Engineering related scientific and technical consulting activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
